SNIPPET;INDEX;CYCLES;POINTS;OBSTACLES
testrun-2-0;69;793506;164;7
testrun-2-0;70;868311;179;8
testrun-2-0;71;937055;188;8
testrun-2-0;72;1056634;225;9
testrun-2-0;73;924177;193;7
testrun-2-0;74;974527;198;8
testrun-2-0;75;995014;190;8
testrun-2-0;76;913524;191;8
testrun-2-0;77;1130423;223;9
testrun-2-0;78;1113272;223;8
testrun-2-0;79;1090903;221;9
testrun-2-0;80;777024;163;8
testrun-2-0;81;1044518;221;9
testrun-2-0;82;1053348;215;8
testrun-2-0;83;1066918;227;10
testrun-2-0;84;1042877;217;9
testrun-2-0;85;1099863;212;9
testrun-2-0;86;996050;194;8
testrun-2-0;87;877274;184;9
testrun-2-0;88;833400;172;7
testrun-2-0;89;929351;194;7
testrun-2-0;90;916252;189;8
testrun-2-0;91;840182;164;6
testrun-2-0;92;929238;197;7
testrun-2-0;93;1031110;210;7
testrun-2-0;94;1029598;204;8
testrun-2-0;95;1045039;211;7
testrun-2-0;96;1075976;219;8
testrun-2-0;97;992691;203;6
testrun-2-0;98;1130034;233;7
testrun-2-0;99;1094930;225;9
testrun-2-0;100;1066228;224;7
testrun-2-0;101;1090763;214;8
testrun-2-0;102;947072;189;8
testrun-2-0;103;879555;168;7
testrun-2-0;104;958637;193;7
testrun-2-0;105;972854;187;7
testrun-2-0;106;901585;175;7
testrun-2-0;107;871442;179;8
testrun-2-0;108;824605;170;8
testrun-2-0;109;794646;151;7
testrun-2-0;110;833847;173;7
testrun-2-0;111;985410;208;9
testrun-2-0;112;1127125;226;9
testrun-2-0;113;1199146;247;8
testrun-2-0;114;1198999;246;7
testrun-2-0;115;1209174;241;8
testrun-2-0;116;1135742;206;6
testrun-2-0;117;1215835;245;6
testrun-2-0;118;1132573;233;8
testrun-2-0;119;1210318;245;7
testrun-2-0;120;1200548;248;8
testrun-2-0;121;1084985;225;7
testrun-2-0;122;964715;190;8
testrun-2-0;123;948311;183;7
testrun-2-0;124;920271;167;6
testrun-2-0;125;957039;187;6
testrun-2-0;126;907189;168;7
testrun-2-0;127;937170;187;8
testrun-2-0;128;924891;191;8
testrun-2-0;129;1148365;217;7
testrun-2-0;130;966019;204;9
testrun-2-0;131;976799;204;7
testrun-2-0;132;961958;206;8
testrun-2-0;133;1013140;212;7
testrun-2-0;134;1075393;215;9
testrun-2-0;135;1197516;229;9
testrun-2-0;136;953944;183;8
testrun-2-0;137;1011130;210;7
testrun-2-0;138;1059937;220;8
testrun-2-0;139;1176723;242;9
testrun-2-0;140;1122522;235;10
testrun-2-0;141;1163071;243;9
testrun-2-0;142;1134719;237;9
testrun-2-0;143;1079368;221;10
testrun-2-0;144;1148280;234;7
